method,subtask,metric,mean,std,ci95_lo,ci95_hi,n_seeds,seed_list
RePO-Hard,QED,sr_x_sim,0.050412,0.011339,0.022242,0.078581,3,"42,123,456"
RePO-Hard,QED,success_rate,0.054533,0.014229,0.019185,0.089882,3,"42,123,456"
RePO-Hard,QED,successful_optimizations,272.666667,71.143048,95.923273,449.410060,3,"42,123,456"
RePO-Hard,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO-Hard,QED,valid_molecules,3299.000000,470.698417,2129.625937,4468.374063,3,"42,123,456"
RePO-Hard,QED,validity,0.659800,0.094140,0.425925,0.893675,3,"42,123,456"
Zero-shot,LogP,similarity,0.736762,0.000000,0.736762,0.736762,1,
Zero-shot,LogP,sr_x_sim,0.170045,0.000000,0.170045,0.170045,1,
Zero-shot,LogP,success_rate,0.230800,0.000000,0.230800,0.230800,1,
Zero-shot,LogP,successful_optimizations,1154.000000,0.000000,1154.000000,1154.000000,1,
Zero-shot,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,1,
Zero-shot,LogP,valid_molecules,2867.000000,0.000000,2867.000000,2867.000000,1,
Zero-shot,LogP,validity,0.573400,0.000000,0.573400,0.573400,1,
Zero-shot,MR,similarity,0.788470,0.000000,0.788470,0.788470,1,
Zero-shot,MR,sr_x_sim,0.131359,0.000000,0.131359,0.131359,1,
Zero-shot,MR,success_rate,0.166600,0.000000,0.166600,0.166600,1,
Zero-shot,MR,successful_optimizations,833.000000,0.000000,833.000000,833.000000,1,
Zero-shot,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,1,
Zero-shot,MR,valid_molecules,3128.000000,0.000000,3128.000000,3128.000000,1,
Zero-shot,MR,validity,0.625600,0.000000,0.625600,0.625600,1,
Zero-shot,QED,similarity,0.797954,0.000000,0.797954,0.797954,1,
Zero-shot,QED,sr_x_sim,0.111394,0.000000,0.111394,0.111394,1,
Zero-shot,QED,success_rate,0.139600,0.000000,0.139600,0.139600,1,
Zero-shot,QED,successful_optimizations,698.000000,0.000000,698.000000,698.000000,1,
Zero-shot,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,1,
Zero-shot,QED,valid_molecules,3326.000000,0.000000,3326.000000,3326.000000,1,
Zero-shot,QED,validity,0.665200,0.000000,0.665200,0.665200,1,
